id,date,subscribers
5555,2017-05-07 00:00:00.000000,161597
5556,2017-05-08 00:00:00.000000,161597
5557,2017-05-09 00:00:00.000000,161597
5558,2017-05-10 00:00:00.000000,161597
5559,2017-05-11 00:00:00.000000,161597
5560,2017-05-12 00:00:00.000000,161597
5561,2017-05-13 00:00:00.000000,161597
5562,2017-05-14 00:00:00.000000,161597
5563,2017-05-15 00:00:00.000000,161597
5564,2017-05-16 00:00:00.000000,161597
5565,2017-05-17 00:00:00.000000,161597
5566,2017-05-18 00:00:00.000000,161597
5567,2017-05-19 00:00:00.000000,161597
5568,2017-05-20 00:00:00.000000,161597
5569,2017-05-21 00:00:00.000000,161597
5570,2017-05-22 00:00:00.000000,161597
5571,2017-05-23 00:00:00.000000,161597
5572,2017-05-24 00:00:00.000000,161597
5573,2017-05-25 00:00:00.000000,161597
5574,2017-05-26 00:00:00.000000,161597
5575,2017-05-27 00:00:00.000000,161597
5576,2017-05-28 00:00:00.000000,161597
5577,2017-05-29 00:00:00.000000,161597
5578,2017-05-30 00:00:00.000000,161597
5579,2017-05-31 00:00:00.000000,161597
5580,2017-06-01 00:00:00.000000,161597
5581,2017-06-02 00:00:00.000000,161597
5582,2017-06-03 00:00:00.000000,161598
5583,2017-06-04 00:00:00.000000,161598
5584,2017-06-05 00:00:00.000000,161598
5585,2017-06-06 00:00:00.000000,161598
5586,2017-06-07 00:00:00.000000,161598
5587,2017-06-08 00:00:00.000000,161598
5588,2017-06-09 00:00:00.000000,161598
5589,2017-06-10 00:00:00.000000,161598
5590,2017-06-11 00:00:00.000000,161598
5591,2017-06-12 00:00:00.000000,161598
5592,2017-06-13 00:00:00.000000,161598
5593,2017-06-14 00:00:00.000000,161598
5594,2017-06-15 00:00:00.000000,161598
5595,2017-06-16 00:00:00.000000,161598
5596,2017-06-17 00:00:00.000000,161598
5597,2017-06-18 00:00:00.000000,161598
5598,2017-06-19 00:00:00.000000,161598
5599,2017-06-20 00:00:00.000000,161598
5600,2017-06-21 00:00:00.000000,161598
5601,2017-06-22 00:00:00.000000,161598
5602,2017-06-23 00:00:00.000000,161598
5603,2017-06-24 00:00:00.000000,161598
5604,2017-06-25 00:00:00.000000,161598
5605,2017-06-26 00:00:00.000000,161598
5606,2017-06-27 00:00:00.000000,161598
5607,2017-06-28 00:00:00.000000,161598
5608,2017-06-29 00:00:00.000000,161598
5609,2017-06-30 00:00:00.000000,161598
5610,2017-07-01 00:00:00.000000,161598
5611,2017-07-02 00:00:00.000000,161598
5612,2017-07-03 00:00:00.000000,161598
5613,2017-07-04 00:00:00.000000,161598
5614,2017-07-05 00:00:00.000000,161598
5615,2017-07-06 00:00:00.000000,161598
5616,2017-07-07 00:00:00.000000,161598
5617,2017-07-08 00:00:00.000000,161598
5618,2017-07-09 00:00:00.000000,161598
5619,2017-07-10 00:00:00.000000,161598
5620,2017-07-11 00:00:00.000000,161597
5621,2017-07-12 00:00:00.000000,161597
5622,2017-07-13 00:00:00.000000,161597
5623,2017-07-14 00:00:00.000000,161597
5624,2017-07-15 00:00:00.000000,161597
5625,2017-07-16 00:00:00.000000,161597
5626,2017-07-17 00:00:00.000000,161597
5627,2017-07-18 00:00:00.000000,161597
5628,2017-07-19 00:00:00.000000,161597
5629,2017-07-20 00:00:00.000000,161597
5630,2017-07-21 00:00:00.000000,161597
5631,2017-07-22 00:00:00.000000,161597
5632,2017-07-23 00:00:00.000000,161597
5633,2017-07-24 00:00:00.000000,161597
5634,2017-07-25 00:00:00.000000,161597
5635,2017-07-26 00:00:00.000000,161597
5636,2017-07-27 00:00:00.000000,161597
5637,2017-07-28 00:00:00.000000,161597
5638,2017-07-29 00:00:00.000000,161597
5639,2017-07-30 00:00:00.000000,161597
5640,2017-07-31 00:00:00.000000,161597
5641,2017-08-01 00:00:00.000000,161597
5642,2017-08-02 00:00:00.000000,161597
5643,2017-08-03 00:00:00.000000,161597
5644,2017-08-04 00:00:00.000000,161597
5645,2017-08-05 00:00:00.000000,161597
5646,2017-08-06 00:00:00.000000,161597
5647,2017-08-07 00:00:00.000000,161597
5648,2017-08-08 00:00:00.000000,161597
5649,2017-08-09 00:00:00.000000,161597
5650,2017-08-10 00:00:00.000000,161597
5651,2017-08-11 00:00:00.000000,161597
5652,2017-08-12 00:00:00.000000,161597
5653,2017-08-13 00:00:00.000000,161597
5654,2017-08-14 00:00:00.000000,161597
5655,2017-08-15 00:00:00.000000,161597
5656,2017-08-16 00:00:00.000000,161597
5657,2017-08-17 00:00:00.000000,161597
5658,2017-08-18 00:00:00.000000,161597
5659,2017-08-19 00:00:00.000000,161597
5660,2017-08-20 00:00:00.000000,161597
